polarity,keywords
-0.125,past
0.08357142857142856,"behind, real, high, first, originally"
0.5,lovely
0.125,first
0.16,high
0.18333333333333335,"great, black, professional"
0.06651785714285714,"behind, large, long, closed, great, nearly, heavy, approximately"
0.06260504201680672,"behind, large, long, closed, great, nearly, heavy, approximately"
0.07436974789915966,"behind, large, long, closed, great, nearly, heavy, approximately, really"
0.1875,originally
0.04285714285714286,"fresh, plain"
0.20075757575757575,"love, new, older"
0.5,greater
0.2,"pink, greater"
0.25,greater
0.3,"early, enjoying"
0.1111111111111111,super
0.16666666666666666,fitting
0.11818181818181818,"new, old"
1.0,greatest
-0.15555555555555556,down
0.5,enjoying
-0.11833333333333336,"sadly, much, hardly"
0.023055555555555555,"complex, high, long, closed, mainly, wide, great"
0.08140909090909093,"happy, other, live, many, frequently, cultural, important, developed, little, late"
0.8,great
-0.010330578512396698,"behind, new, busy, alarming, due, light"
0.07944055944055944,"few, new, high, closed, many, light"
0.3,colossal
-0.08272727272727273,"other, new, least, due"
0.01858054226475279,"few, straight, new, generally, much, developed, usually, cleverly, reasonable, other"
0.028066378066378066,"old, few, straight, new, generally, much, developed, usually, cleverly, reasonable, other"
0.03253119429590018,"straight, new, generally, much, developed, usually, cleverly, reasonable, other"
0.3,"developed, more"
-0.00505050505050505,"developed, down"
0.016666666666666666,developed
0.03333333333333333,direct
0.16153846153846155,"true, greater, few, first, success, intense, kind"
0.10714285714285712,"most, greater, naturally, guarded, first, near, early, small, late"
0.013541666666666674,"other, slight, light"
0.4,great
0.5,more
0.13636363636363635,new
-0.024999999999999994,"unusual, usually"
0.49333333333333335,"thanks, nice, ok, very"
-0.1,green
0.1,early
0.31,"smooth, experimental, powerful, remarkable, famously"
0.3385416666666667,"quickly, more, first, successful, original"
0.2,modern
-0.1,closed
0.4166666666666667,"old, pleasant"
0.16666666666666669,"harder, strong"
-0.09928571428571428,"other, limited, bass"
-0.16666666666666666,"cold, early"
-0.21666666666666667,easy
0.16666666666666666,"unique, past"
0.31927272727272726,"new, high, great, iconic"
-0.2625,"other, behind"
0.02886904761904762,"hot, dispossessed, experimental, first, down, pretty, single"
0.36266233766233763,"new, old, best, large"
0.3,"great, better"
0.08333333333333333,"other, original"
0.65,"happy, enjoying"
0.1392857142857143,"thick, special, sure"
0.6,liked
0.24545454545454545,"new, own"
0.00060606060606061,"new, ready, previous"
-0.065,"other, few"
0.11317379332685455,"unexpected, least, down, enjoying, mere, mostly, usually, amazing, certain, colorful, exceptionally, early, other, very, military, few, happy, good, attendant, smart, due, filled, modern, enjoy, deadly, first, difficult, full"
0.11650354737854739,"worse, unexpected, least, down, enjoying, mere, mostly, usually, rich, amazing, certain, much, exceptionally, early, better, other, very, military, tremendous, memorable, few, happy, good, attendant, smart, due, filled, modern, enjoy, new, deadly, first, difficult, full, famous"
0.11054289091523134,"unexpected, least, down, enjoying, mere, mostly, usually, amazing, certain, many, exceptionally, early, other, very, military, few, happy, good, attendant, smart, due, filled, enjoy, deadly, first, difficult, full"
0.2681818181818182,"huge, new"
0.1,near
0.4190340909090909,"new, fabulous"
0.06578947368421051,"most, greater, naturally, guarded, generally, first, near, early, small, thick, late"
0.3683333333333334,"most, best, high, thanks, full"
-0.08333333333333333,"random, more, past"
-0.0068181818181818205,"new, ruins"
0.06666666666666667,modern
0.10833333333333334,"vibrant, very"
0.03888888888888889,"slipping, vibrant, slowly, very"
0.6,"most, great, iconic, popular"
0.25876190476190475,"particularly, interesting, few, large, great, particular, experienced, very"
0.12456709956709956,"most, interesting, good, single, originally, main, due, other"
0.1425,"past, many, top, sound, due"
0.03125,other
0.16666666666666666,"large, main, right"
0.09764069264069263,"previously, first, right, original, dark, partially, very"
-0.06666666666666667,narrow
0.028124999999999997,"other, top, dark"
0.14500000000000002,"missing, interesting, far, fortunately, much, first, disappointing, more"
